station;year;parameter;min;25% quantile;median;75% quantile;max;std_dev;rel_std_dev;outliers;values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;2-Phenyl-2-_2-piperidinyl_acetamid;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;3-5-6-Trichlor-2-pyridinol;0;0;0;0;0.009;0.001981515;353.8418879;[0.009];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;3-5-6-Trichlor-2-pyridinol;0;0;0;0;0.003;0.000772618;360.5551275;[0.003];0;0;0;0;0;0;0;0.003;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;3-5-6-Trichlor-2-pyridinol;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;3-5-Dibrom-4-Hydroxybenzoesaeure;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;3-5-Dibrom-4-Hydroxybenzoesaeure;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;3-5-Dibrom-4-Hydroxybenzoesaeure;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;3-Phenoxybenzoesaeure;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;3-Phenoxybenzoesaeure;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;3-Phenoxybenzoesaeure;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;4-5-Dichlor-2-octyl-2H-isothiazol-3-on;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;4-5-Dichlor-2-octyl-2H-isothiazol-3-on;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
